discount_pct,unit_price,quantity,order_date,total_amount,customer_id,product_name,pincode,status,rating,order_id,city,category,payment_method,phone,state
20,Rs. 120.00,N/A,2023-09-26,-2280.00,CUST_0544,HDMI Cable,499100 ,Cancelled,Good,ORD_01,,electronics,credit card,9782111511,tamil nadu
N/A,750#,4,26/09/2023,Rs.622,00131,Keyboard (New),380320 ,P3nding,0,ORD_02,PUNE,Electronicss,WALLET,919271224104,N/A
null,199,4,17-01-2024,,CUST_,Phone Holder,60638,Delivered,5 stars,ord_0003,unknown,  Accessories  ,N/A,919507469456,Maharashtra
null,inf,9999,1734805800,0.00,CUST_???,Desk Lamp,072987,pending,3,ORD_0004,unknown,electronics,CREDIT CARD,91737 60396,karnataka
-5,Rs. 650.00,,05/09/2024,$520.00,CUST_0187,Desk Lamp,71071,Canc,N/A,ORD_0005,"Chennai,",  Electronics  ,,+91-93885-07486,Tamil Nadu
N/A,199#,0,2023-09-29,$185.07,CUST_0174,Phone Holder,626017,Ship,0,ORD_0006,"Bangalore,",ACCESSORIES,net banking,09175810656,Karnataka
6.4,$650.00,9999,"Sep 20, 2023",650.00,#REF!,Desk Lamp,000000,DELIVERED,Good,ord_0007,,Elec,N/A,09011353846,
26.9,inf,494,04/06/2023,0.00,#REF!,Sticky Notes,40324,cancelled,-1,ord_0008,Delhi,Stationery,N/A,919830413723,N/A
10%,899,140,18/09/2023,0.00,CUST_0257,USB Hub,867374,cancelled,Good,ord_0009, Ahmedabad ,ELECTRONICS,Credit Card,,Gujarat
null,45..,-3,1718217000,0.00,#REF!,Notebook,843918,Returned ,5 stars,ord_0010,  Mumbai,  Stationery  ,,9614478953,
,25#,103,25-May-2024,,CUST_???,Sticky Notes,054080,Pending ,1,ORD_0011,  Chennai,Stationerys,DEBIT CARD,99340 39267,N/A
N/A,nan,N/A,22-Sep-2024,1732.80,CUST_0439,HDMI Cable,582123,shipped,2,ORD_0012,"Mumbai,",electronics,Net Banking,,M@h@r@shtr@
150,$75.00,9999,13-Dec-2023,-236.25,CUST_0438 ,Screen Cleaner,771058,SHIPPED,0,ORD_0013 ,,Accessories,debit card,09369886931,Rajasthan
,4500..,N/A,04-09-2024,38880.00,CUST_0513,Office Chair,148687,Canc3ll3d,0,ORD_0014,Kolkata,FURNITURE,N/A,,West Bengal
30,nan,0,"Dec 20, 2024",-85.00,CUST_0390,Stapler,18023,CANCELLED,,ORD_015,Mumbai,Stationery,wallet,919070520025,
